9627181	10027417	8618855	9562469	12135350	8980023
9470136	9427340	8747858	7891871	10208640	7992850
9300650	10765057	10687744	9621997	9074395	8832646
9343467	11939894	9508150	9012418	8644717	11790212
9772023	12957508	11408727	9403708	8872419	10823584
8830309	8596645	9040748	9520006	8791246	8731381
9577654	9307578	12451676	9804121	10682216	8980016
12169205	10483785	10534164	9791536	9621997	10775535
9370233	11325345	8744402	10767725	10952022	11778650
10867779	11571321	12495082	9781520	8859062	9785148
12657895	9665654	10775884	9549720	11071064	10411671
12614323	9700208	8614504	9343467	9626772	12355988
9307578	9052714	9920359	10624576	12053131	12355988
7849527	8596645	8890772	7816154	7898715	8797010
9852204	10354518	9012418	11320185	10490274	12457072
9482248	8830319	9674791	8014966	8075646	8128960
12490540	10571241	12376533	12670700	10959835	12882964
8273205	12226532	12011307	8741397	8039724	11068149
8082773	9520006	12581338	8624080	7595656	11193807
8047278	8614504	8624095	9369084	7746463	7574468
10381540	9751198	10501208	9422368	7637575	11711530
7936253	8710076	7970234	8669492	8702415	8525796
8867021	12876259	7992850	8702415	8890772	8525796
14501016	9460714	9369317	11305869	7615568	7695621
11095526	10454160	11041282	11231028	10980578	12962909
9290497	8993479	9057170	8826994	11416775	10746604
11860878	9831815	9343467	11285089	9626772	10194255
11775232	8710077	9369084	10940674	9619639	8947284
9066363	12787320	8841664	7566000	9213069	8203459
10854768	12609489	9033257	11553277	11113336	8980023
9704150	9369084	10998553	8069300	11775232	7824157
9876967	9181358	8773610	9409253	7550352	9148246
9596412	9033259	9258256	10737598	8786379	11556686
11889238	9343467	10448801	9626772	8669492	9876966
12566177	9678311	11016543	12548360	10634455	11255440
10362893	12417380	9052712	12417379	12876259	8614504
7922348	12581343	9460714	9024330	8596645	8833436
9382479	9343467	9508150	11939894	11790212	7818244
8878109	9850873	9329486	9187933	9223597	9678311
10934557	9920359	12629906	10682216	11683989	11535112
7619525	8631862	9398632	9030704	12787320	9460714
9831992	9831993	9508150	9831994	9831995	9343467
11421127	9369084	11775232	8069300	11482130	9494696
